sentence	obligation	reporting_entity	target_entity	frequency	deadline
On the basis of the reports referred to in paragraph 2, the Commission (Eurostat) shall assess the quality of the data transmitted with particular regard to ensuring the comparability of the data between Member States.	0	-	-	-	-
Every five years from 23 November 1996 the Commission shall submit to the European Parliament, the Council and the European Economic and Social Committee a report on the application of this Directive taking into account Articles 22 and 23 and paragraphs 1 and 2 of this Article.	1	the Commission	the European Parliament, the Council and the European Economic and Social Committee	every five years	23-11-1996
The Commission shall by 31 December 2020 submit a report to the European Parliament and to the Council on whether:. (a) it is appropriate to introduce a leverage ratio surcharge for O-SIIs; and. (b) the definition and calculation of the total exposure measure referred to in Article 429(4), including the treatment of central bank reserves, is appropriate.	1	The Commission	the European Parliament and the Council	-	31-12-2020
Release of information to the United Nations and other third parties.	0	-	-	-	-
The cities concerned shall draw up their evaluation reports and transmit them to the Commission by 31 December of the year following the year of the title.	1	The cities	the Commission	annually	31-12-?
The Commission shall submit to the European Parliament and to the Council by 16 June 2021, and every 5 years thereafter, a report on the implementation of this Directive, in particular to monitor the effectiveness of the measures for the issuing of single safety certificates.	1	The Commission	the European Parliament and the Council	every five years	16-06-2021
An investment firm shall ensure that the staff responsible for the risk and compliance functions of algorithmic trading have:. (a) sufficient knowledge of algorithmic trading and strategies;. (b) sufficient skills to follow up on information provided by automatic alerts;. (c) sufficient authority to challenge staff responsible for algorithmic trading where such trading gives rise to disorderly trading conditions or suspicions of market abuse.	0	-	-	-	-
Member States shall inform the Commission by 1 April of each year of the names of the inspectors and the inspection vessels they intend to assign to the ICCAT scheme during the year.	1	Member States	the Commission	annually	01-04-?
The President of the Council shall, on behalf of the Union, give the notification provided for in Article 12(1) of the Agreement.	1	The President of the Council	-	-	-
in the case of a legal person, administrative fines of up to 10 % of the total annual net turnover of that legal person in the preceding business year. Where the legal person is a subsidiary of a parent undertaking, the relevant turnover shall be turnover resulting from the consolidated accounts of the ultimate parent undertaking in the preceding business year;	0	-	-	-	-
Member States shall, by 30 April of each year, transmit to the Commission and to the other Member States a report on the measures taken during the preceding year, pursuant to Articles 2, 4, 5, 7 to 18 and 32, as applicable, and on the results of those measures.	1	Member States	the Commission and the other Member States	annually	30-04-?
From 2016 until and including 2023, each Member State shall submit to the Commission an annual report on implementation of the programme in the previous financial year.	1	each Member State	the Commission	annually	-
The Commission shall submit a report to the European Parliament and to the Council, within six months of each global stocktake agreed under Article 14 of the Paris Agreement, on the operation of this Regulation, including the balance between supply and demand for annual emission allocations, as well as on the suitability of the national greenhouse gas emission reduction targets contained in Annex I to this Regulation as regards their contribution to the Union’s climate objectives pursuant to Regulation (EU) 2021/1119 and to the goals of the Paris Agreement.	1	The Commission	the European Parliament; the Council	-	within six months
Where appropriate, the standard forms may be accompanied by reports, statements and any other documents, or certified true copies or extracts thereof, which shall also be sent by electronic means, unless this is impracticable for technical reasons.	1	-	-	-	-
In accordance with the objectives and guidelines defined and implemented under the 2006-08 Protocol, in force until 31 July 2008, a multiannual programme for the sectoral support provided under this Protocol per calendar year shall be notified to the European Community not later than 1 March of each year.	1	-	the European Community	annually	01-03-?
Starting in 1999, each Member State shall inform the Commission by 1 July each year of the coins meeting the criteria laid down in point (2) of Article 344(1) which are traded in that Member State.	1	each Member State	the Commission	annually	01-07-?
(191) Established suppliers, with cabinets in place in a significant number of outlets, are protected from the entry of competitors to outlets in which they are present by this cost barrier: the presence of a number of networks of incumbent supplier-exclusive cabinets, extending to almost all outlets in the relevant market, has the effect of raising the costs of the entry to the relevant market of non-incumbent competitors and expansion therein by all suppliers.	0	-	-	-	-
Safeguard clause: if a country’s share in the EU value added in one of the following NACE Section or defined aggregates corresponds to that of a lower size category (lower than the size category resulting from the overall grouping), the data requirements for that country shall correspond to those of the lower size category for the Section (or Sections) in question. This may apply to NACE Sections C (‘Manufacturing’), F (‘Construction’), Section G (‘Trade’), and to the aggregate of Sections H to N (excl. K, ‘Services’).	0	-	-	-	-
The feedback shall be reciprocal: the JST coordinators shall provide feedback to the NCA sub-coordinators and the NCA sub-coordinators shall provide feedback to the JST coordinators, in accordance with the principles set out in Annex I.	1	JST coordinators;NCA sub-coordinators	NCA sub-coordinators;JST coordinators	-	-
A signatory Government which intends to ratify, accept or approve this Agreement, or a Government for which the Council has established conditions for accession but which has not yet been able to deposit its instrument may, at any time, notify the depositary that it will apply this Agreement provisionally in accordance with its laws and regulations, either when it enters into force in accordance with Article 39 or, if it is already in force, at a specified date.	1	signatory Government	depositary	-	-
Proportional share is the proportion that will be used to calculate the group solvency.	0	-	-	-	-
The Directorate responsible for HQ security and EEAS information security, in cooperation with the Directorate responsible for the Crisis Response Centre (CRC), may, where appropriate, designate contributing experts to participate in security inspections to EU agencies and bodies established under Title V, Chapter 2 of the TEU.	0	-	-	-	-
requirements for models for steady-state and dynamic system studies;	0	-	-	-	-
The proportion of turnover referred to in Article 8(2), point (a), of Regulation (EU) 2020/852 shall be calculated as the part of the net turnover derived from products or services, including intangibles, associated with Taxonomy-aligned economic activities (numerator), divided by the net turnover (denominator) as defined in Article 2, point (5), of Directive 2013/34/EU. The turnover shall cover the revenue recognised pursuant to International Accounting Standard (IAS) 1, paragraph 82(a), as adopted by Commission Regulation (EC) No 1126/2008 (1).	0	-	-	-	-
220412 (Number of employees and self-employed persons in survivals of enterprises having at least one employee, in the year of birth).	0	-	-	-	-
It shall be delivered within 45 days following receipt of the request and sent to the holder, the Agency, and the coordination group referred to in Article 31 of Directive 2001/82/EC or in Article 27 of Directive 2001/83/EC.	1	-	holder, the Agency, and the coordination group	-	-
In order to ensure consistent application of this Article, ESMA shall, after consulting EBA, other relevant competent authorities and the members of the ESCB, develop draft regulatory technical standards specifying:. (a) the type of tests to be undertaken for different classes of financial instruments and portfolios;. (b) the involvement of clearing members or other parties in the tests;. (c) the frequency of the tests;. (d) the time horizons of the tests;. (e) the key information referred to in paragraph 3.	0	-	-	-	-
The main arguments put forward by the undertakings are then discussed.	0	-	-	-	-
Each year, Liberia shall present a progress report on the actions implemented and the results achieved with sectoral support, which shall be examined by the Joint Committee.	1	Liberia	-	annually	-
meteorological watch offices in its area of responsibility;	0	-	-	-	-
Ireland shall communicate to the Commission, by 1 July of every year of the validity of the Protocol at the latest, whether fishing opportunities may become available for other Member States.	1	Ireland	the Commission	annually	01-07-?
being in possession of the goods which are the subject of the import of the goods in the Member State of import.	0	-	-	-	-
Where a Member State does not require all of the elements of the EMSWe data set for the fulfilment of reporting obligations, the maritime National Single Window shall accept submissions that are limited to the data elements that are required by that Member State.	0	-	-	-	-
The Czech Republic shall inform the Commission by 30 March 2021, and every six months thereafter of the implementation of the planned public expenditure until that planned public expenditure has been fully implemented.	1	The Czech Repulic	the Commission	semiannually	30-03-2021
For the purposes of proper implementation of this Chapter, the competent Georgian and EU authorities shall regularly exchange information and, at the request of one of the Parties, shall conduct consultations.	1	the competent Georgian and EU authorities	EU authorities	periodically	-
The designated cities shall submit progress reports to the Commission six weeks before each monitoring meeting.	1	The designated cities	the Commission	periodically	six weeks before
human erroneous actions and omissions, events involving hazardous material, environmental effects, equipment failures, and external influences,	0	-	-	-	-
Subsequent reports shall be submitted to the Commission by 30 June each year and shall cover the preceding calendar year from 1 January to 31 December commencing with the calendar year 2005.	1	-	the Commission	annually	30-06-?
Each year, by the sixth working day of April at the latest, the NCBs shall transmit the data referred to in paragraphs 1 to 3 in respect of the reporting period from July to December of the previous year.	1	the NCBs	-	annually	the sixth working day of April at the latest
After that initial period of five years, the Commission shall report regularly, and at least every two years, to the European Parliament and to the Council.	1	the Commission	the European Parliament and to the Council	biannually	-
Observers may be permitted by the chair to take part in the discussions and provide expertise.	0	-	-	-	-
The Council shall notify the Commission by 30 November each year of the decision which it adopts pursuant to the first subparagraph of Article 6 (2) of the Internal Agreement and which relates to the schedule of calls for contributions to the EDF.	1	The Council	the Commission	annually	30-11-?
Where the issuing authority concludes that such impossibility does exist, it shall inform the addressee that the EPOC-PR no longer needs to be executed.	1	the issuing authority	the addressee	-	-
The objectives of the common monitoring and evaluation system shall be:. (a) to demonstrate the progress and achievements of the CFP and the IMP, to consider the general impact and to assess the effectiveness, efficiency and relevance of EMFF operations;. (b) to contribute to better targeted support for the CFP and the IMP;. (c) to support a common learning process related to monitoring and evaluation;. (d) to provide robust, evidenced based evaluations of the EMFF operations that feed into the decision-making process.	0	-	-	-	-
The Fund shall issue and transmit to Members an annual report containing an audited statement of accounts.	1	The Fund	Members	annually	-
The Commission shall, by 31 July of each year, notify ICCAT of the lists received from the Member States.	1	The Commission	ICCAT	annually	31-07-?
Every three years, and for the first time no later than 30 September 2019, the Commission shall submit a report to the European Parliament and to the Council on the application of this Directive in the Member States and shall propose any amendments necessary.	1	the Commission	the European Parliament;the Council	every three years	30-09-2019
An investment firm that provides direct electronic access to a trading venue shall have in place effective systems and controls which ensure a proper assessment and review of the suitability of clients using the service, that clients using the service are prevented from exceeding appropriate pre-set trading and credit thresholds, that trading by clients using the service is properly monitored and that appropriate risk controls prevent trading that may create risks to the investment firm itself or that could create or contribute to a disorderly market or could be contrary to Regulation (EU) No 596/2014 or the rules of the trading venue.	0	-	-	-	-
The provisional draft statement of estimates of the Agency’s revenue and expenditure shall be sent to the Commission by 31 January each year.	1	-	the Commission	annually	31-01-?
DHS shall ensure that appropriate technical measures and organisational arrangements are implemented to protect personal data and personal information contained in PNR against accidental, unlawful or unauthorised destruction, loss, disclosure, alteration, access, processing or use.	0	-	-	-	-
In accordance with Article 69(2)(a) of Regulation (EC) No 1234/2007, the Member States shall notify to the Commission, before 1 February each year:. (a) the quantities which have been definitively converted between individual quotas for deliveries and direct sales at the request of individual producers;. (b) the division between deliveries and direct sales of the quota placed in the national reserve in accordance with Article 71(2) of Regulation (EC) No 1234/2007 with effect from 1 April of the 12-month period in question.	1	the Member States	the Commission	annually	01-02-?
Portugal shall inform the Commission by 30 March 2021, and every six months thereafter of the implementation of the planned public expenditure until that planned public expenditure has been fully implemented.	1	Portugal	the Commission	semiannually	30-03-2021
Area subject to natural disturbances in the inventory year	0	-	-	-	-
Commission shall inform the competent authorities of Ukraine of any decisions adopted in accordance with the procedures in force in the Community relating to classification of products covered by this Regulation, within one month	1	Commission	the competent authorities of Ukraine	-	within one month
These are the technical provisions for marine, aviation and transport insurance and proportional reinsurance, without risk margin after deduction of the amounts recoverable from reinsurance contracts and SPVs, with a floor equal to zero, relating to life activities.	0	-	-	-	-
The rights conferred by this Directive shall not extend to the provision of services as counterparty in transactions carried out by public bodies dealing with public debt or by members of the ESCB performing their tasks as provided for by the TFEU and by Protocol No 4 on the Statute of the European System of Central Banks and of the European Central Bank or performing equivalent functions under national provisions.	0	-	-	-	-
Absolute purchases plus absolute sales of environmentally sustainable securities shall be included in the numerator of the specific GAR for the trading Portfolio of the credit institution. Total absolute purchases plus total absolute sales of securities shall be included in the denominator of the GAR for the trading Portfolio.	0	-	-	-	-
The EUSR shall provide Member States’ missions and the Union’s delegations with regular briefings.	1	EUSR	Member States’ missions and the Union’s delegations	periodically	-
Belgium shall submit to the Commission, by 21 September 2013, a report outlining the measures taken to comply with this Decision.	1	Belgium	the Commission	-	21-09-2013
An AMSE telex sent on 3 February 1978 said that AMSE now understood that 'Billiton are deferring a decision until after the Comité de Liaison meeting.	0	-	-	-	-
By letter of 18 June 2001 the Commission sought further information.	0	-	-	-	-
The Commission shall make publicly available that list and its updates on its website and on a durable medium.	1	The Commission	-	-	-
EIOPA shall, on an annual basis and until 1 January 2021, report to the European Parliament, the Council and the Commission about the impact of the application of Articles 77a to 77e and 106, Article 138(4) and Articles 304, 308c and 308d, including the delegated or implementing acts adopted pursuant thereto.	1	EIOPA	the European Parliament, the Council and the Commission	annually	01-01-2021
The translation of these comments was transmitted to Germany by letter dated 27 October.	0	-	-	-	-
the responsibilities vested in the paying agency;	0	-	-	-	-
Every 3 years, the competent authority shall report in writing to the Commission on its supervision of paying agencies and monitoring of their activities.	1	the competent authority	the Commission	every three years	-
In support of the argument that the matrix, or general information regarding price changes, provided at the meetings had no effect on the actual competitive behaviour of the companies involved, British Sugar submits an analysis of the differences between the matrix price and the prices actually charged to a selection of 11 major industrial customers during the relevant period.	0	-	-	-	-
The descriptions and proposals shall be submitted to the Statistical Office of the European Communities not later than 30 June 1994.	1	-	The Statistical Office of the European Communities	-	30-06-1994
This Decision is addressed to the organisers (members of the citizens' committee) of the proposed citizens' initiative called Ensuring Common Commercial Policy conformity with EU Treaties and compliance with international law, represented by [Personal data deleted following the consultation of the organisers] acting as contact persons.	0	-	-	-	-
The administrator for assistance measures shall regularly inform the Facility Committee established by Decision (CFSP) 2021/509 of the implementation of revenue and expenditure, in accordance with Article 38 of that Decision, including by providing information on the suppliers and subcontractors involved.	1	The administrator for assistance measures	the Facility Committee	periodically	01-06-?
It shall inform the Commission about that designation and about any subsequent change thereof without delay.	1	It	the Commission	-	without delay
The transfers of funds provided for in points (b) to (e) of paragraph 1 are intended to compensate competent authorities of a Member State for the work of the rapporteur or co-rapporteur and for any related scientific and technical support and shall be without prejudice to the obligation of Member States not to give instructions incompatible with the independence of the Agency.	0	-	-	-	-
Where the requesting authority seeks assistance which it would itself be unable to provide if so requested, it shall draw attention to that fact in its request.	0	-	-	-	-
all ships, irrespective of their flag, calling at, or operating within, a port of a Member State, with the exception of ships engaged in port services within the meaning of Article 1(2) of Regulation (EU) 2017/352, and with the exception of any warship, naval auxiliary or other ship owned or operated by a State and used, for the time being, only on a government non-commercial basis;	0	-	-	-	-
Member States shall, by 16 November 2017 and every three years thereafter, communicate to the Commission available data showing how victims have accessed the rights set out in this Directive.	1	Member States	the Commission	every three years	16-11-2017
Croatia shall inform the Commission by 30 March 2021, and every six months thereafter of the implementation of the planned public expenditure until that planned public expenditure has been fully implemented.	1	Croatia	the Commission	semiannually	30-03-2021
‘goods to be used for the building of offshore installation’ means the delivery of durable goods to build a new or extend an existing offshore installation;	0	-	-	-	-
That information is to be provided early enough to the OTIF Secretary-General in order to allow its circulation together with meeting documents or a decision to be taken by correspondence.	1	-	the OTIF Secretary-General	-	-
Member States using a central register at national level shall submit to the Commission by 30 June every year aggregated data on de minimis aid granted for the previous year.	1	Member States	the Commission	annually	30-06-?
Each such Party shall submit the information required under paragraph 2 above as part of the first national communication due under the Convention after this Protocol has entered into force for it and after the adoption of guidelines as provided for in paragraph 4 below.	1	Each such Party	-	-	-
Digital Services Coordinators shall, every two years, draw up a report on the functioning of the out-of-court dispute settlement bodies that they certified.	1	Digital Services Coordinators	-	biannually	-
Each Member State shall inform the Commission annually by 31 March of the following:. (a) the number of requests for information, notification and recovery or for precautionary measures which it sends to each requested Member State and which it receives from each applicant Member State each year;. (b) the amount of the claims for which recovery assistance is requested and the amounts recovered.	1	Each Member State	the Commission	annually	31-03-?
Where a longer period for the denunciation to take effect is specified in the notification, the denunciation shall take effect upon the expiration of such longer period after the date on which the notification is received by the depositary.	0	-	-	-	-
Net turnover shall mean net turnover as defined for variable 140301 under F3. The breakdown by product is based on the CPA.	0	-	-	-	-
The administrative, management or supervisory body shall have responsibility for putting in place systems which ensure that the internal model operates properly on a continuous basis.	0	-	-	-	-
The Commission shall, by 6 April 2015, submit a report to the European Parliament and the Council, assessing the extent to which the Member States have taken the necessary measures in order to comply with this Directive, including a description of action taken under Article 18(4), accompanied, if necessary, by legislative proposals.	1	The Commission	the European Parliament and the Council	-	06-04-2015
The controller or processor shall notify the measures taken for complying with the decision to the lead supervisory authority, which shall inform the other supervisory authorities concerned.	1	The controller or processor	the lead supervisory authority; other supervisory authorities concerned	-	-
System owners shall ensure that third party contractors are obliged to immediately notify the Commission of all IT security incidents affecting an outsourced Commission CIS.	1	third party contractors	Commission	-	-
In the case of a product safety recall, or where certain information has to be brought to the attention of consumers to ensure the safe use of a product (safety warning), economic operators, in accordance with their respective obligations as provided for in Articles 9, 10, 11 and 12, and providers of online marketplaces in accordance with their obligations as provided for in Article 22(12), shall ensure that all affected consumers that can be identified are notified directly and without undue delay.	1	providers of online marketplaces	all affected consumers	-	without undue delay
Member States shall notify to the Commission by 30 April 2007 a list of designated ports.	1	Member States	the Commission	-	30-04-2007
‘goods in quasi-import’ means goods which are released for free circulation in a Member State, without the importer being established in that Member State, and which are subsequently exported to another Member State;	0	-	-	-	-
Every year before 31 March the Member States shall send the Commission a comprehensive report on the progress made by the programmes during the period between 1 January and 31 December in the previous year.	1	Member States	the Commission	annually	31-03-?
This amount does not include diversification effects inside each component, which shall be embedded in the values disclosed in C0030.	0	-	-	-	-
(14) The railway undertaking also needs to be provided with infrastructure capacity, i.e. a certain time slot on the tracks of the railway networks on which it wishes to provide the cross-border service.	0	-	-	-	-
These are the premiums written for miscellaneous financial loss insurance and proportional reinsurance during the (rolling) last 12 months, after deduction of premiums for reinsurance contracts, with a floor equal to zero, relating to non–life activities.	0	-	-	-	-
Each Member State shall ensure that sufficient independent scientific support is available to assist the competent authorities, upon their request, by providing:. (a) scientific and technical expertise relating to the approval of slaughterhouses as referred to in Article 14(2) and the development of new stunning methods;. (b) scientific opinions on the instructions provided by manufacturers on the use and maintenance of restraining and stunning equipment;. (c) scientific opinions on guides to good practice developed within its territory for the purposes of this Regulation;. (d) recommendations for the purposes of this Regulation, in particular in relation to inspections and audits;. (e) opinions on the capacity and suitability of separate bodies and entities to fulfil the requirements laid down in Article 21(2).	1	Each Member State	the competent authorities	-	-
(21) Member States shall complete this field if expected new annual end-use energy savings are stable. If the new annual end-use energy savings are expected to change over time MS shall complete the fields per year.	0	-	-	-	-
Each Party shall provide adequate legal protection against the manufacture, import, distribution, sale, rental, advertisement for sale or rental, or possession for commercial purposes, of devices, products or components, or the provision of services which:. (a) are promoted, advertised or marketed for the purpose of circumvention of;. (b) have only a limited commercially significant purpose or use other than to circumvent; or. (c) are primarily designed, produced, adapted or performed for the purpose of enabling or facilitating the circumvention of,. any effective technological measures.	0	-	-	-	-
The proposal for an improved formulation of Digermin, which MED put forward in the telex of 24 April 1984 to Farmoplant, was not substantiated in any further detail by MED, although if implemented the registrations in all the European countries would have had to be changed.	0	-	-	-	-
Energy crops for electricity or heat (including short rotation coppice)	0	-	-	-	-
Italy shall inform the Commission by 30 March 2021, and every six months thereafter of the implementation of the planned public expenditure until that planned public expenditure has been fully implemented.	1	Italy	the Commission	semiannually	30-03-2021
(65) The above reasoning is supported by the material presented by Hilti to show the comparative cost of different methods of fixing used for specific jobs.	0	-	-	-	-
The provisions of this Protocol supplement the Protocol setting out the fishing opportunities and financial contribution provided for in the Fisheries Partnership Agreement between the European Community and the Republic of Cape Verde on fishing off the coast of Cape Verde for the period from 1 September 2006 to 31 August 2011 and apply in accordance with point 4.1 of ‘Chapter VII — Monitoring’ in the Annex thereto.	0	-	-	-	-
Eurostat shall monitor the effective implementation of the European statistics Code of Practice by national statistical authorities.	1	Eurostat	-	-	-
Community fishing vessels fishing for squid (Martialia hyadesi) in FAO statistical subarea 48.3 shall transmit to the CCAMLR, by 25 September each year, the fine-scale catch and effort data for that fishery, with a copy to the Commission.	1	Community fishing vessels	the CCAMLR, the Commission	annually	25-09-?
Each year, by 31 December, the Commission shall publish a report describing the methodology used for the assessment referred to in paragraph 2, point (b), and the main findings of its assessment undertaken in that year.	1	the Commission	-	annually	31-12-?
Without prejudice to the obligation to submit the inspection reports via the EU Portal in accordance with Article 78(6) of Regulation (EU) No 536/2014, Member States shall keep for at least 25 years relevant records of national inspections as well as of the inspections performed outside their territory, including information on the outcome of the inspection as regards good clinical practice compliance status as well as any action taken by the sponsor or Member State in the follow-up of the inspection.	1	Member States	-	-	-
Member States shall notify those provisions to the Commission by 9 June 2016 and shall notify without delay of any subsequent amendment affecting them.	1	Member States	the Commission	-	09-06-2016
The contact point of the Member State which carried out the technical roadside inspection shall notify without delay the results of the inspection to the Member State of registration.	1	contact point of the Member State	the Member State	-	without delay
Applications for the adaptation of the national programmes for 2005-2006 shall be submitted to the Commission not later than 31 October 2005 to be taken into consideration for the following year.	1	-	the Commission	-	31-10-2005
Computer programming, consultancy and related services	0	-	-	-	-
In addition, by 31 January of each year, the auction platform shall provide a summary and an analysis of the monthly reports of the previous year.	1	-	-	annually	31-01-?
Only after a further reminder of 31 May 1999, in which the Commission reserved the right to adopt a formal decision pursuant to Article 11(5) of Regulation No 17, did SGl provide on 8 June 1999 a corporate statement as to its participation in the cartel.	0	-	-	-	-
Each Member State shall send a comprehensive report to the Commission by 6 May 2016 and every two years thereafter.	1	Each Member State	the Commission	biannually	06-05-2016
The Commission shall submit to the European Parliament, the Council and the Economic and Social Committee not later than 1 January 2009 and every four years thereafter a report on the implementation and the effect of this Directive, paying particular attention to the competitiveness of the market in modern and contemporary art in the Community, especially as regards the position of the Community in relation to relevant markets that do not apply the resale right and the fostering of artistic creativity and the management procedures in the Member States.	1	The Commission	the European Parliament, the Council and the Economic and Social Committee	every four years	01-01-2009
Where an undertaking does not have a website, Member States may require it to make a written copy of its management report available upon request.	1	an undertaking	Member States	-	-
Member States shall, before 1 July of each year, forward to the Commission the data required to compile the list.	1	Member States	the Commission	annually	01-07-?
The French authorities shall inform the Commission, within two months from the notification of this Decision, of the measures taken to comply therewith.	1	the French authorities	the Commission	-	within two months
Those arrangements, processes and mechanisms shall also be consistent and well-integrated and those subsidiaries shall also be able to produce any data and information relevant to the purpose of supervision.	0	-	-	-	-
THE COUNCIL AND THE MINISTERS OF EDUCATION MEETING WITHIN THE COUNCIL, Referring to their conclusions of 27 September 1985, Reaffirming their resolve to strengthen the European dimension in education in accordance with the 'solemn declaration on European union' of Stuttgart (June 1983), the conclusions of the European Council in Fontainebleau (June 1984) and the 'People's Europe' report adopted at the European Council in Milan (June 1985);	0	-	-	-	-
The persons empowered shall also communicate to the Secretary-General of the Customs Cooperation Council the information and the notification, which appear in Annexes II and III respectively to this Decision.	1	The persons empowered	Secretary-General	-	-
The following conditions must be fulfilled:. (a) The system must be established and made available to all Member States at their request on 31 May 2007 at the latest;. (b) Italy must forward a technical and financial report to the Commission on 30 September 2007 at the latest, the financial report accompanied by supporting documents justifying evidence as to the costs incurred and the results attained.	1	Italy	the Commission	-	30-09-2007
1. Market participants shall publicly disclose in an effective and timely manner inside information which they possess in respect of business or facilities which the market participant concerned, or its parent undertaking or related undertaking, owns or controls or for whose operational matters that market participant or undertaking is responsible, either in whole or in part. Such disclosure shall include information relevant to the capacity and use of facilities for production, storage, consumption or transmission of electricity or natural gas or related to the capacity and use of LNG facilities, including planned or unplanned unavailability of these facilities.	1	Market participants	-	-	-
A credit rating agency shall provide annually, by 31 March, to ESMA information relating to matters set out in point 2 of Part II of Section E of Annex I.	1	A credit card rating agency	ESMA	annually	31-03-?
a requirement that customers’ monies be transferred via strictly segregated customer accounts and that those accounts not be used to reimburse other creditors in the event of bankruptcy;	0	-	-	-	-
By way of derogation from paragraph 1, the competent authorities of a Member State may authorise the release of certain frozen funds or economic resources, provided that the following conditions are met:. (a) the funds or economic resources are subject of an arbitral decision rendered prior to the date on which the natural or legal person, group, entity or body referred to in paragraph 1 was listed in the Annex, of a judicial or administrative decision rendered in the Union, or a judicial decision enforceable in the Member State concerned, prior to, on or after that date;. (b) the funds or economic resources will be used exclusively to satisfy claims secured by such a decision or recognised as valid in such a decision, within the limits set by applicable laws and regulations governing the rights of persons having such claims;. (c) the decision is not for the benefit of a natural or legal person, group, entity or body listed in the Annex; and. (d) recognising the decision is not contrary to public policy in the Member State concerned.	0	-	-	-	-
(5) The comment received were forwarded by the Commission to Spain, which was given the opportunity to make observations.	0	-	-	-	-
Meinl will submit to the Commission, every six months until 28 February 2001 and thereafter every 12 months util 28 February 2004, a written report on the current status of the shops operated by it.	1	Meinl	the Commission	semiannually;annually	28-02-2001; 28-02-2004
Every Wednesday at noon time while within the fishery limits after the entry report or the last weekly report in the FSM EEZ.	0	-	-	-	-
This amount is also disclosed under claims incurred (item R1610).	0	-	-	-	-
Table 3: Available projected and realised costs and benefits of individual or groups of policies and measures on mitigation of climate change (a)	0	-	-	-	-
Member States shall submit to the Commission an annual report, by 30 June of the following year, on the notification of serious adverse reactions and events received by the competent authority using the formats in Part D of Annex II and Part C of Annex III.	1	Member States	the Commission	annually	30-06-?
By 31 October of each year, the Commission shall publish a call of proposal respecting the conditions set out in Regulation (EU, Euratom) No 966/2012.	1	the Commission	-	annually	31-10-?
Member States shall report to the Commission every two years on the implementation of this Regulation.	1	Member States	the Commission	biannually	-
That information shall comply with the following requirements:. (a) be submitted in a data extractable format as defined in Article 2, point (3), of Regulation (EU) 2023/2859 or, where required by Union law, in a machine-readable format as defined in Article 2, point (4), of that Regulation;. (b) be accompanied by the following metadata:(i) all the names of the credit rating agency to which the information relates;. (ii) the legal entity identifier of the credit rating agency, as specified pursuant to Article 7(4), point (b), of Regulation (EU) 2023/2859;. (iii) the size of the credit rating agency by category, as specified pursuant to Article 7(4), point (d), of that Regulation;. (iv) the type of information, as classified pursuant to Article 7(4), point (c), of that Regulation;. (v) an indication of whether the information contains personal data;. (vi) the country of the registered office of the credit rating agency to which the information relates;. (vii) the industry sector(s) of the economic activities of the credit rating agency to which the information relates, as specified pursuant to Article 7(4), point (e), of that Regulation.	0	-	-	-	-
The decision referred to in the first subparagraph shall be notified to the Commission by 31 December 2013.	1	-	the Commission	-	31-12-2013
Each port Member State shall submit to the Commission by 15 June of each year the list of fishing vessels that are not flagged to that port Member State and which have landed in its ports tuna and tuna-like species caught in the Area in the preceding calendar year.	1	Each port Member State	the Commission	annually	15-06-?
The Member States shall notify those provisions to the Commission without delay.	1	The Member States	the Commission	-	without delay
Each European Coordinator shall, by 22 December 2014, submit to the Member States concerned a work plan analysing the development of the corridor.	1	Each European Coordinator	the Member States	-	22-12-2014
Where the non-compliance referred to in paragraph 1 persists, the Member State concerned shall take all appropriate measures to restrict or prohibit the PPE being made available on the market or ensure that it is recalled or withdrawn from the market.	0	-	-	-	-
Member States shall use the common format laid down in the Annex when reporting their national air pollution control programme to the Commission in accordance with Article 10(1) of Directive (EU) 2016/2284.	0	-	-	-	-
An annual progress report on the implementation of measures and penalties referred to in Article 2(1), (2) and (3), including an assessment of their effects, shall be submitted to the Commission by 30 April each year.	1	the Commission	-	annually	30-04-?
Upon receipt of the information referred to in paragraph 1, the Commission shall immediately notify the WCPFC Secretariat thereof.	1	the Commission	the WCPFC Secretariat	-	-
Member States shall notify the Commission of the authority which is to be considered as controller referred to in Article 57.	1	Member States	the Commission	-	-
A Member State receiving authorization to alter the number of pig places shall submit to the Commission an annual report, before 1 May of the following year, on the specific cases in which the number of pig places has been altered in the context of a farm development plan.	1	A Member State	the Commission	annually	01-05-?
(2) A dossier for the active substance mesosulfuron methyl was submitted by Aventis to the French authorities on 15 December 2000 with a view to obtaining its inclusion in Annex I to the Directive.	0	-	-	-	-
(169) In this case, the documents submitted by Anek before the Commission's issuance of the statement of objections have confirmed, to a significant extent, the existence of the infringement in question.	0	-	-	-	-
Each year, before 1 May, the EIB shall send the Commission the updated estimates of commitments and payments which are necessary for drawing up the communication referred to in Article 8(3).	1	the EIB	the Commission	annually	01-05-?
An amount equal to the value of net deferred tax assets non available at group level –Tier 3	0	-	-	-	-
The competent national authorities listed in Annex II may, from 10.00 o’clock a.m. on 8 January 2013, notify the Commission of the amounts covered by requests for import authorisations.	1	The competent national authorities	the Commission	-	08-01-2013
By way of derogation from paragraph 1, point (g), of this Article, historical information shall not be made accessible on ESAP for longer than five years.	0	-	-	-	-
(19) Member States to refer to a base year and value, as appropriate, if this aids in demonstrating progress.	0	-	-	-	-
